epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,352.736,1.4498,5.40856,1.19055,0.63357,0.60595,0.64174,0.36311,1.5954,5.41342,1.2259,0.000954623,0.000954623,0.000954623
43,356.7,1.48505,5.52513,1.1898,0.63795,0.6149,0.65796,0.40366,1.40116,5.59762,1.13587,0.000952418,0.000952418,0.000952418
44,360.643,1.4766,5.49913,1.19132,0.64936,0.63799,0.66681,0.38823,1.45558,5.22712,1.14981,0.000950164,0.000950164,0.000950164
45,364.431,1.47577,5.51576,1.19537,0.65151,0.62807,0.65449,0.36994,1.4743,5.15904,1.14312,0.000947861,0.000947861,0.000947861
46,368.329,1.46143,5.45023,1.20726,0.63941,0.62727,0.66725,0.39926,1.46108,5.09719,1.15809,0.000945509,0.000945509,0.000945509
47,372.099,1.48138,5.56548,1.19048,0.66338,0.62951,0.66391,0.36574,1.55888,5.21596,1.18632,0.000943107,0.000943107,0.000943107
48,375.871,1.4622,5.46433,1.18862,0.65555,0.61061,0.63605,0.3674,1.4348,5.22861,1.13939,0.000940658,0.000940658,0.000940658
49,379.713,1.45881,5.42337,1.19346,0.65094,0.64184,0.66496,0.38936,1.47211,5.21006,1.16479,0.00093816,0.00093816,0.00093816
50,383.422,1.48403,5.54914,1.19132,0.65112,0.63465,0.65021,0.38298,1.48914,5.28439,1.14946,0.000935613,0.000935613,0.000935613
51,387.07,1.47578,5.5829,1.18817,0.63393,0.63665,0.65307,0.39295,1.44757,5.19568,1.13747,0.000933019,0.000933019,0.000933019
52,390.729,1.47338,5.56056,1.18367,0.67117,0.64113,0.67801,0.41002,1.39476,4.99744,1.12388,0.000930378,0.000930378,0.000930378
53,394.382,1.46,5.34568,1.17852,0.65233,0.64578,0.666,0.42744,1.29123,4.84232,1.08283,0.000927689,0.000927689,0.000927689
54,398.181,1.44389,5.31901,1.1678,0.65071,0.611,0.64962,0.38981,1.4227,5.14138,1.1399,0.000924954,0.000924954,0.000924954
55,401.97,1.46083,5.26559,1.17929,0.63789,0.64673,0.66442,0.41876,1.27321,4.91045,1.08229,0.000922172,0.000922172,0.000922172
56,405.698,1.43168,5.17573,1.17093,0.6326,0.63726,0.6514,0.40075,1.37361,5.0566,1.11974,0.000919343,0.000919343,0.000919343
57,409.4,1.45146,5.3903,1.18976,0.64989,0.64825,0.66037,0.3922,1.38622,4.90318,1.1186,0.000916469,0.000916469,0.000916469
58,413.195,1.45915,5.27354,1.1725,0.6631,0.65992,0.68014,0.4175,1.36276,4.96638,1.11027,0.000913549,0.000913549,0.000913549
59,416.893,1.45175,5.30544,1.17225,0.6522,0.62633,0.64318,0.40616,1.2963,5.0496,1.08013,0.000910584,0.000910584,0.000910584
